"job_title","job_description","salary_string"
CCTV Operator with SIRA License - Visit / Cancel Visa,"CCTV Operator with SIRA License for Security System Operator
Visit Visa Holder / Cancelled Visa - Preferred.
Immediate Joining
UAE Experience - Preferred
Job Types: Full-time, Permanent, Contract
Contract length: 24 months
Salary: AED2,300.00 per month
Application Question(s):
Are you in Visit visa or Cancelled visa or immediate available to join ?
Experience:
UAE Experience as CCTV Operator: 1 year (Preferred)
License/Certification:
SIRA Certificate for Security System Operator (Preferred)
Application Deadline: 28/02/2023","AED2,300 a month"
Ecommerce Assistant,"Looking for an Ecommerce assistant with knowledge of Amazon, Noon, Dubai Store
Job Types: Full-time, Permanent
Salary: AED2,000.00 - AED3,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
Sales Experience Of Sales In Supermarkets In Home Country: 3 years (Preferred)
Sales Experience In UAE: 3 years (Required)
License/Certification:
UAE Driving License (Preferred)","AED2,000 - AED3,000 a month"
Nail Artist,"Females Only
Nail Art Technician+ All rounders
Required for a new salon in Al Barsha South, Dubai
Visa + Commission
Kindly send your resume/CV at 00971558834864
Job Types: Full-time, Contract
Contract length: 24 months
Salary: AED2,500.00 - AED5,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
nail technician: 1 year (Preferred)","AED2,500 - AED5,000 a month"
Emirati National Female Administrative Officer with Tadbeer work experience,"Supervise and coordinate all aspects of an agency. They work with agents and clients to ensure that targets are met, relevant policies and guidelines are upheld, and customer satisfaction is achieved. Specialized knowledge required.
Job Types: Full-time, Contract
Contract length: 24 months
Salary: From AED5,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Application Deadline: 28/02/2023","AED5,000 a month"
Pastry Chef,"We are looking for an experienced Pastry Chef to prepare a variety of desserts, pastries, or other sweet goods in a 4-star Café. Your skill in baking high-quality treats should be matched by your creativity to develop new amazing tastes and recipes.
Responsibilities
· Prepare a wide variety of goods such as cakes, cookies, pies, bread, etc. following traditional and modern recipes
· Create new and exciting desserts to renew our menus and engage the interest of customers
· Decorate pastries using different icings, toppings, etc. to ensure the presentation will be beautiful and exciting
· Monitor stocks for baking ingredients such as flour, sugar, etc., and make appropriate orders within budget
· Check the quality of material and condition of equipment and devices used for cooking
· Guide and motivate pastry assistants and bakers to work more efficiently
· Identify staffing needs and help recruit and train personnel
· Maintain a lean and orderly cooking station and adhere to health and safety standards
Requirements and skills
· Proven experience as Pastry Chef, baker, or relevant role
· Great attention to detail and creativity
· Organizing and leadership skills
· Willingness to replenish professional knowledge
· In-depth knowledge of sanitation principles, food preparation and baking techniques and nutrition
· Working knowledge of baking with ingredient limitations (pastries that are gluten-free, sugarless, etc.)
· Certificate in culinary arts, pastry-making, baking or relevant field
Job Type: Full-time
Salary: AED4,000.00 - AED5,000.00 per month
Experience:
Pastry Chef: 3 years (Required)","AED4,000 - AED5,000 a month"
Sales Executive,"Looking for a Senior Sales Exceutive with atleast 3 years local knowledge with Mass Market Stores.
Should be aggressive and oriented
Job Types: Full-time, Permanent
Salary: AED2,500.00 - AED3,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
Sales Experience Of Sales In Supermarkets In Home Country: 3 years (Preferred)
Sales Experience In UAE: 3 years (Required)
License/Certification:
UAE Driving License (Preferred)","AED2,500 - AED3,000 a month"
Sale Executive,"MEETING WITH CLIENTS VIRTUALLY SALE VISITE
DEMONSTRATING AND PRESENTING PRODUCTS
ESTABLISHING NEW BUSNIESS
MAINTAINING ACCURATE RECORDES
REVIEWING SALE PERFORMANCE
SALE EXPERIENCE 4-5 YEARS
Job Type: Full-time
Salary: From AED2,500.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
sales (Required)
Language:
Arabic (Preferred)","AED2,500 a month"
Travel Agent,"We are looking for 1 - 2 years experienced travel agent for our travel agency in Dubai. Proficiency in English (both written and verbal), Knowledge about GDS is preferred.
Responsibilities :-
Responding to customers requests and queries. Maintaining records of customer interactions, transaction and complaints. Flight bookings/cancellations Handling software like GDS systems for maintaining flight reservations, cancellations. Provide customers with a market competitive flight experience (from registrations to bookings and issuing tickets).
Job Type: Full-time
Salary: From AED1,500.00 per month
Ability to commute/relocate:
Ajman: Reliably commute or planning to relocate before starting work (Required)","AED1,500 a month"
Need Female Sales Executive for Car Showroom in Dubai,"Need Sales Executive (Female) for a Car Showroom in Dubai
* Must have strong selling and cross selling skills
* Must be punctual, teamwork oriented and well behaved
* Must have strong knowledge about all social media platforms and must know how to deal with them and how to promote business through them. (Must know video making, editing and posting etc)
* Must be age between 20 and 35
Salary will be 2500 all inclusive + Incentive
Interested candidates walk in to Location below Monday to Saturday 3pm to 9pm
Type in Google: Perfect Automobiles Trading Ras Al Khor.
( Opposite Belhasa Metal Industries )
or Send whatsap in 0568243038 for location. (NO CALLS PLEASE)
Job Type: Full-time
Salary: AED3,500.00 per month","AED3,500 a month"
Female Graphics Designer and Social Media Expert,"Responsibilities:
Planning concepts by studying relevant information and materials.
Illustrating concepts by designing examples of art arrangement, size, type size and style and submitting them for approval.
Preparing finished art by operating necessary equipment and software.
Coordinating with outside agencies, art services, web designer, marketing, printers, and colleagues as necessary.
Contributing to team efforts by accomplishing tasks as needed.
Communicating with clients about layout and design.
Creating a wide range of graphics and layouts for product illustrations, company logos, and websites with software such as photoshop.
Reviewing final layouts and suggesting improvements when necessary.
Develop and execute social media campaigns for various platforms, including Instagram, Facebook, Twitter, and others
Create and share engaging daily content, including text, images, and videos that promote the company’s brand
Ensure current social media strategy aligns with company goals and values
Measure the success of social media campaigns using KPIs
Stay on top of current social media trends and evaluate how the company can best participate
Monitor client engagement and interact with clients on social media posts
Moderate user-generated content for appropriateness
Collaborate with other departments to ensure content is informative and appealing
Create editorial calendars and syndication schedules
Job Type: Full-time
Salary: AED2,000.00 - AED2,500.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Graphics Designing: 3 years (Preferred)
Social Media: 2 years (Preferred)
Language:
English (Preferred)
Shift availability:
Day Shift (Preferred)
Application Deadline: 24/02/2023","AED2,000 - AED2,500 a month"
Security Guard,"Job Summary
To ensure the safety and security of the staff and the residents buildings and units during assigned work hours.
Job Responsibilities
Assume duties and responsibilities from the outgoing shift with all information and equipment. Observe proper wearing of neat uniform, good hygiene and appearance.
Checking and reporting cleaner's work as per the standard set by company.
Record and assist visitors, contractors, delivery person, company maintenance team as per the standards set by company.
Passing information to security supervisor/manager, maintenance coordinator, building management as per the standards set by company.
Maintaining daily occurrences record in the security log book.
Completion of assignment instructions from the security manager/supervisor.
Assist orderly control of crowds at the entrance and outside the entrance during emergency situations.
Patrolling the building time to time from rooftop to basements as per the standards set by company.
Provide assistance to the tenants regarding their complaints.
Providing assistance to tenants during move in and move out as per the standards set by Company.
Access control of unauthorized visitors as per the standards set by company.
Reporting of any property damage or unusual happening as per the standards set by company
Time keeping for the maintenance teams (in-house and third party) as per the standards set by the company.
Daily watch and report for energy consumption of the building.
Ensure awareness of the building and emergency procedures.
Follow the rules and regulations of SIRA.
Job Requirements
Men only.
Age should not be more than 40(if experienced can be considered).
Physically and Mentally fit.
1 year experience as a security guard is a must, UAE experience is preferred.
SIRA certificate is must.
Job Type: Full-time
Salary: From AED1,500.00 per month
Application Question(s):
Can you join immediately
Experience:
Security Guard: 2 years (Preferred)
License/Certification:
SIRA certificate (Preferred)","AED1,500 a month"
Sales Promotor,"Job Title: Sales Promotor
Location: Dubai (Female Only)
Interested candidates can share their resume to my WhatsApp No. +971 52 454 0900 as well.
Accomodation will be given by company.
Job Description:
Responsibilities:
Provide all the needed information on promoted products and services
Assist customers in finding the suitable product they are looking for
Provide advice and guidance on product selection to customers
Build lasting relationships with customers by contacting them to follow up on purchases, suggest purchase options and invite them to upcoming events
Consistently seek new product knowledge to act as an expert for the customer
Present products using interactive materials such as videos, charts, slideshows etc.
Set up booths or promotional stands and stock products
Arrange merchandise to look tidy and attractive to customers
Disseminate product samples, brochures, flyers etc.
Engage with customer and discover their wants and needs
Submit daily sales report through the company sales app
Job Types: Full-time, Permanent
Salary: AED1,500.00 - AED1,600.00 per month","AED1,500 - AED1,600 a month"
General Accountant,"Responsibilities:
· Maintain Bookkeeping and accounting entries.
· Reconciliation of various bank statements.
· Managing AP with ageing and timely payments.
· Prepare and analyses of staff reimbursement.
· Preparation of Invoices and assure the deliveries with the Project team.
· Preparation of PO and track the project wise requirement and approvals.
· Inventory management with supplier invoices and coordinate with Project
team for physical reports.
· MIS reporting and detailing of the expenses.
· Activity report on weekly basis for the assigned task.
· Perform all the finance functions assigned by the line manager.
Skills & Requirements:
· Sound Understanding of accounting entries and policies.
· Strong MS Office skills, specifically in Excel for reports.
· 3 to 5 Years of relevant experience.
· Understanding of IFRS
Nationality
Philippines
Job Types: Full-time, Permanent
Salary: AED6,000.00 - AED8,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Education:
Higher diploma (Preferred)
Experience:
accounting: 3 years (Required)","AED6,000 - AED8,000 a month"
Wall painter,"Job description
Must have UAE experience.
Must have previous experience working with interior fit out companies in UAE.
Must have expirece in gypsum and decor painting
No interior fit out experience candidates will not be called for an interview.
Candidates who are ready to join immediately can apply.
Job Types: Full-time, Permanent
Ability to commute/relocate:
Al Barsha: Reliably commute or planning to relocate before starting work (Required)
Experience:
painter in interior fit out company: 3 years (Required)
Job Types: Full-time, Permanent
Salary: AED1,400.00 - AED2,400.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or willing to relocate with an employer-provided relocation package (Required)
Experience:
UAE Painting: 3 years (Required)","AED1,400 - AED2,400 a month"
Barista / Sandwich maker,"Preparing and serving hot and cold drinks such as coffee, tea and speciality beverages.
Prepares sandwiches to individual order of customers, receives sandwich orders from customers.
Cleaning and sanitising work areas, utensils and equipment
Cleaning service and seating areas
Describing menu items and suggesting products to customers
Servicing customers and taking orders
Ordering and receiving stock supplies
Receiving and processing customer payments
Job Type: Full-time
Salary: AED2,500.00 - AED3,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
Barista / Sandwich maker in Dubai Coffee Shop / Cafeteria (Preferred)
Language:
English (Preferred)
Shift availability:
Day Shift (Preferred)
Night Shift (Preferred)
Overnight Shift (Preferred)","AED2,500 - AED3,000 a month"
Accountant,"Job description
JOB RESPONSIBILITIES :
Maintaining accounts receivable, document bills and supporting documentation
Maintaining accounts payable, ensure timely payment of invoices, confirming validity of the debt and gathering appropriate signatures
Updating financial records via accounting software
Preparing & Analyzing financial statements and prepare balance sheets
Assists senior accountants with all financial operations
Complete end of month close procedures
Sound understanding of accounting and financial reporting principles and practices. Ability to work independently and as part of a team.
Excellent report writing, communication and IT skills Advanced competency in Microsoft Office and Accounting software packages.
REQUIREMENTS:
Bachelor /Diploma in relevant field.
Minimum 1 year experience in same field
Candidates under sponsor visa .
Willing to relocate to Umm al Quwain.
Job Type: Full-time
Salary: From AED2,000.00 per month
Application Question(s):
CANDIDATES UNDER SPONSOR VISA","AED2,000 a month"
Kitchen Assistant,"1. preparing all ingredients based on recipe card
2. assisting chef in all cooking activities following cooking preparation manual.
3. cleaning and maintaining kitchen equipment.
4. must have experience in F&B industry.
Notes:
1- experience in kitchen and restaurant is a must.
2- salary range is mentioned if your expecting more please don't apply.
Job Types: Full-time, Contract
Contract length: 24 months
Salary: AED1,300.00 - AED1,600.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)","AED1,300 - AED1,600 a month"
Home Care Nurse,"The Home Nurse will provide and coordinate patient-centric and evidence based nursing care by ensuring compliance to ethical and professional standards set by regulatory authorities and the company.
Roles and responsibilities:
To perform and document patient assessment which incorporates all available data.
To use nursing knowledge and Clinical expertise in performing physical examination and patient assessment.
To identify from assessment, actual and potential problems in collaboration with patient and family.
To appropriately escalate identified concerns according to level of urgency.
To plan, document and discuss nursing care plan with the patient and family using the nursing process and priorities of nursing care.
To continually update the nursing care plan as patient status demands.
To appropriately escalate identified concerns according to level of urgency. Coordinate care delivered by the multidisciplinary team.
Education and knowledge
Bachelor’s Degree in Nursing.
Comprehensive knowledge of patient safety standards
Experience and skills
Relevant experience as a Nurse
Desired: UAE experience would be beneficial.
Job Types: Full-time, Contract
Contract length: 24 months
Pay: AED3,000.00 - AED3,500.00 per month","AED3,000 - AED3,500 a month"
Hair Stylist,"Work experience in Salon
Having basic hair services ,treatment, rebonding waves.
Job Types: Full-time, Contract
Contract length: 24 months
Salary: AED3,000.00 - AED3,500.00 per month
Ability to commute/relocate:
Al-Ayn: Reliably commute or planning to relocate before starting work (Required)
Experience:
Hair Styling: 1 year (Preferred)
Expected Start Date: 15/03/2023","AED3,000 - AED3,500 a month"
Credit Collections specialist,"At Iron Mountain we protect what our customers value most, from the everyday to the extraordinary. We build customer value around the world with a passion for preserving the physical, transforming the digital, and respecting the environmental. We pioneered the industry for global records and information management and have established some of the best customer relationships in the industry with 95% of the Fortune 1000 companies among our 225,000 loyal customers. Here, you’ll bring your expertise and creativity to a workplace that thrives on continuous improvement. Here, you’ll be part of a global workforce that embraces the differences among us. And here, we’ll encourage you to Climb Higher for the benefit of our customers and each other. There is so much more, but enough about us. We can’t wait to hear about YOU.
About the opportunity
The Credit Collections Specialist is a key member of the A2C team and strongly oriented Cash Collection/Collection process enhancement and continuous improvement.The main focus of this role is to drive a cash mindset with a sense of urgency on Top Accounts and identifying areas of continuous improvement with the billing team, sales, operations and commercial.
You'll Get
Create customer account collection analysis, Aging Reports
Contact customers, via phone and e-mail, regarding their open invoices and billing disputes.
Identify issues causing delay in payment
Achieve set collection plans by completing customers’ visits.
Reduce overdue amounts by strategic actions and standard collection actions
To follow up reconciliation of the customers ( monthly, quarterly and yearly)
Create Bad-Debt and Credit Memo Reports for your portfolio
Independently manage a portfolio of accounts on a month over month basis to minimize the overall delinquency rate to achieve target results set by Management
Ensure customers received all issued invoices.
Verify customers’ accounts balance with company’s balances to ensure proper reconciliation.
Provide daily updates to ensure proper collections.
Ensure receipt voucher is kept safe at all times and handed over to cashier when voucher is full.
Ensure depositing the daily cash collections to the cashier.
Escalate collection issues to Manager
Monitor and report monthly KPIs
Be part of the Project Team involved in the implementation
Clearly communicate analysis and recommendations to leadership
Perform Collections Department projects as directed by management.
Cash application if required.
What You Will Bring
Ability to read, analyze and interpret numerical data.
Strong attention to detail, rigorous.
Ability to communicate key messages, both verbal and written, clearly across a diverse range of contacts.
At least intermediate level of English, both oral and written ideally Arabic speaking and written
Understanding of the importance of cash within a business, and understanding of the components that can drive improvement results in cash collection metrics to a targeted level.
Track record of successfully meeting cash collections. Strong business process definition and analysis skills.
Strong analysis, problem solving, proactive root cause analysis, customer interfacing and conflict resolution skills.
Ability to assess risk with A2C processes and to implement appropriate controls to mitigate risk.
Driving cash collection to meet targets for A2C as well as embedding a cash mindset in all activities and regional partners.
Collaborate cross-functional (Billing Team, Sales, Operations, Finance) to drive the eradication of the root causes of the most frequently occurring customer issues or disputes, ensuring that action plans are documented and executed on time.
Providing guidance and advice on how to resolve major customer payment issues, e.g. reviewing accounts with significant aged backlogs of unpaid invoices, unresolved disputes and unallocated cash.
This will include leading meetings with major customers to discuss issues and agree resolution plans.
Managing the implementation and ongoing execution of leading practice cash collection processes including proactive telephone collection, variable automated dunning letter cycles, etc. This will include reviewing results on a monthly basis and making adjustments as and when required.
Your Qualifications:
Bachelor in accounting, finance, banking, business, or a similar field.
2-4 years' experience as a credit officer.
Outstanding analytical capability with attention to detail
Ability to clearly deliver executive-level communications
Advanced user of MS Excel/ Google Sheet (including pivot tables and data manipulation)
Very good knowledge of Cash collection and Billing process
End to end process understanding of the A2C operating model, ideally with a track record of DSO and cash collection sustainable performance improvement.
Experience working in a multinational environment in a matrix management structure.
AR settlement negotiations with largest customers and senior individuals
Willingness to learn
Thrive as a team player in a fast paced environment
Detail-oriented
Problem-solving skills which require exercising independent judgment
Excellent organizational skills and the ability to work well under pressure.
Strong ethical behavior and the ability to work with sensitive financial information.
What's In It For You
Be part of an ever-evolving global organization focused on transformation and innovation
A support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self
Competitive Total Reward offerings to support your career at Iron Mountain, family, personal wellness, financial wellbeing, and retirement
Our clients come from all walks of life, and so do we. We hire great people from a wide variety of backgrounds, not just because it’s the right thing to do, but because it makes our company stronger. If you share our values and our enthusiasm, bring your best self to work. We insist!
Job Type: Full-time
Salary: E£6,000.00 - E£7,500.00 per month
Ability to commute/relocate:
6th of October City: Reliably commute or planning to relocate before starting work (Required)
Language:
English (Required)",$٦٬٠٠٠ - $٧٬٥٠٠ لكل شهر
Accountant,"About SABIS®:
SABIS® is a global education network that has an active presence in 20 countries on five continents. Schools in the SABIS® Network educate over 70,000 students and implement a proven, proprietary system. SABIS® Network schools provide students with a top-quality education that prepares them to meet the challenges of a changing world.
SABIS® and SABIS® Network schools employ over 8,000 employees worldwide.
For more information about the SABIS® Network, visit: www.sabis.net.
Job Purpose:
Perform a variety of accounting activities for the preparation of reliable and timely financial statements. Make sure all accounting work is performed according to generally accepted accounting principles, established procedures, departmental guidelines, and applicable regulatory requirements.
Key Responsibilities:
Assisting in maintaining accuracy of general, revenue, expenditure, and subsidiary ledgers.
Conducting verification and reconciliation tasks for banks, associated SABIS® Network schools, and SABIS® group entities, as well as researching and resolving discrepancies.
Reviewing and auditing accounts receivable, receipts, cash payments, and other accounting records and transactions, as well as ensuring money is posted to correct accounts and that all related accounts balance.
Recording entries in the accounting system including, receipts, debit/credit notes payments, invoices and other journals as approved by the financial controller.
Following up and monitoring collections from parents, and reporting on outstanding collections as required.
Ensuring timely month-end closing of students’ accounts and supplier statements and issuance of reliable and accurate financial reports.
Preparing and reviewing essential financial documentation regarding declarations and payments to comply with the governing financial rules and regulations of the country.
Assisting in the development of the annual budget.
Participating in the year-end audit by compiling and preparing supporting schedules, work papers, and financial reports as requested by the financial controller.
Coordinating with, and reporting to the Financial Controller on the implementation and maintenance of effective internal control systems to safeguard school assets and prevent fraud.
Ensuring collections from parents are processed through the banking system, not in cash and reporting all discrepancies to the financial controller.
Performing other related tasks or projects as they arise and/or as delegated by the financial controller and the SABIS® Representative
Ideal Requirements:
Bachelor degree in a related subject matter and/or equivalent
English Proficient
Minimum of 4-6 years of experience in the field
Professional Behavior and Ethical Conduct
Communication skills
Ability to work within a team
Employment Requirements:
Must meet all employment requirements including, but not limited to, country and local education and certification requirements, reference checks, and criminal background checks.
Additional details about this position will only be provided to short-listed candidates.
SABIS® is an equal opportunity employer. We are dedicated to a policy of non – discrimination in employment on any basis including age, sex, color, race, creed, national origin, religion, marital status, disability or any other legally protected characteristics.
Job Type: Full-time
Salary: E£2,518.40 - E£8,568.94 per month",$٢٬٥١٨ - $٨٬٥٦٩ لكل شهر
Waitress,"Greet the customer upon arrival.
Escort them to the table and offer menu.
Attending daily or regular meetings with managers to learn about menu changes and occasional menu specials.
Waiting for the customers to place their orders and answering any questions about the menu items, ingredients and the occasional menu specials
Writing down the customers’ orders and passing them to the kitchen staff for preparation.
Delivering food items and drinks to the tables, inquiring to see if the customers are satisfied and fetching additional courses if necessary.
Preparing cheques for customers and processing payments through cash or credit card and returning any balances.
Job Type: Full-time
Salary: AED2,000.00 - AED2,500.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or willing to relocate with an employer-provided relocation package (Required)
Education:
Bachelor's (Required)
Experience:
server: 3 years (Required)
Willingness to travel:
100% (Preferred)","AED2,000 - AED2,500 a month"
Wall Painter,"Skilled Painters who have experience of application of wall paint/emulsion, enamels/oil paint, wood paint/polish, textured exterior paints, design paints with minimum 2 years experience in UAE/Gulf. Painters who can do gypsum works or other masonry works preferred.
Job Type: Full-time
Salary: AED1,800.00 - AED2,200.00 per month
Experience:
Painter in UAE / GCC: 2 years (Required)","AED1,800 - AED2,200 a month"
php developer,"Back-end Developer (PHP)
Job Requirements
+3 years experience in the field.
Passionate, innovative, and results-oriented.
Passionate about the latest best practice and technologies in server management.
Excellent skills in PHP development.
Good understanding of OOP, SOILD, and Design Patterns.
Good understanding of OOP & MVC Concepts
Good understanding of front-end technologies, such as HTML5 & CSS & jQuery
Web Services, JSON, RESTful APIs, and API gateways
Deep knowledge of Laravel framework.
knowledge of Redis.
Previous experience using GIT in a team work flow.
Good knowledge of Linux commands.
Good experience with MySQL databases.
Clear, concise and structured thinker and communicator.
Ability to work under pressure.
Quick learner, and adapts to new technologies easily and quickly.
Nice to have:
knowledge using Agile (Scrum) Process and Agile tools(Jira).
knowledge of NoSql Database (MongoDB)
knowledge in Vue.js.
Job Types: Full-time, Part-time, Contract
Contract length: 1 month
Part-time hours: 45 per week
Salary: E£10,000.00 - E£20,000.00 per month",$١٠٬٠٠٠ - $٢٠٬٠٠٠ لكل شهر
Appointment Setter (Inside Sales),"Job description
No Solar Experience Necessary, appointment setting experience is preferred!
Full Job Description
we are passionate about solar energy and everything it has to offer you as well as the planet. It’s our mission to offer a sustainable source of energy to homeowners across the U.S. Since 2007, we have established ourselves as one of the leading providers of rooftop solar energy systems in the U.S.
Our ' Inside Appointment Setters' will call on new and aged customers who may have had interest in solar at one point in time; or consumers who have agreed to receive information for solar through a self-guided advertisement online. You will discuss the benefits of solar with the goal of setting up a qualified appointment for our Home Energy Consultant.. Selected candidates must be friendly with strong phone and verbal communication skills, along with active listening skills and proficient with a computer. You must be poised to handle and overcome objections in a positive manner.
Responsibilities:
Develop new sales opportunities by scheduling appointments through outbound calling.
Learn to overcome objections; ask for the sale; discuss the plus of going solar.
Confirm appointments through outbound calls.
Handle in-bound lead flow, follow-ups, and e-mail outreach
Route qualified leads to the Outside Sales team
Collaborate regularly with Outside Sales, the Scheduling department, and Operations.
Review and analyze actions at the end of each day, week, month, and year to determine how to better utilize time and plan more effectively.
Job Requirements:
Maintain call center database by entering information.
Perform outbound call campaigns generated sales leads to company.
Ensuring that call center policies and procedures
Answer inbound calls from existing and potential customers.
Providing reporting on service levels for call center performance
Expect professionalism and reliability from call center employees.
Meet and exceed daily outbound call quotas.
Ensure that the call center goals are met.
Start sales career with a growing organization in a call center sales and customer service role.
Transferring calls to other departments/call centers if customer
Make outbound calls to achieve the goals of assigned call segment.
Job Type: Full-time
Pay: E£30.58 - E£31.00 per hour
Experience:
appointment setting: 1 year (Preferred)
inside sales: 1 year (Preferred)
Expected Start Date: 19/02/2023",$٣٠٫٥٨ - $٣١٫٠٠ لكل ساعة
Business Development Executive,"REQUIRED BUSINESS DEVELOPMENT EXCUTIVE CUM TELE CALLER
Only Female.
Job Type: Full-time
Salary: Up to AED3,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
business development executive: 1 year (Preferred)
Business Developments: 1 year (Preferred)
Application Deadline: 28/02/2023","AED3,000 a month"
Planner,"· Responsible for the preparation of the baseline program and the continuous management of the program updates and monitoring of the same along the life of the project.
· Direct communication with the Contract Manager and Technical Manager and with the production team to update and monitor the program.
· Responsible for the control of the project in terms of time.
· Responsible for the preparation of the progress reports.
· Reporting to the Contract Manager and Technical Manager.
· Requirements:
o Experience in construction projects over 50 million USD.
o Minimum experience as Planner of 8 years. At least 5 years in Middle East.
o High level in PRIMAVERA P6. Demonstrable previous experience in projects with planning in PRIMAVERA.
o Organized and work well in fast-paced environments. Reliability and attention to detail are also important traits.
o Languages: English (professional level).
o Availability to join the team in Jubail (Saudi Arabia) in 2 or 3 months.
Job Types: Full-time, Permanent
Salary: From ﷼12,000.00 per month",$١٢٬٠٠٠ لكل شهر
PROJECT CONTROL MANAGEER,"The ideal candidate will be responsible for researching, planning and coordinating projects within schedule and scope. They will also effectively monitor and provide project updates to relevant stakeholders or clients.
Responsibilities
Provide Project Baseline as per NEOM requirement
Determine the project schedule
Researching new projects and guiding delegates to explore them
Update relevant stakeholders or team members on the progress of projects
Coach and support team members with the tasks you assign
Attend weekly and monthly meeting with client
Qualifications
Bachelor's Degree or equivalent experience
Minimum 10 years experience
Strong business acumen in project planning and management
Strong verbal, written, and organizational skills
Experience in infrastructure and building
Job Type: Full-time
Salary: ﷼10,000.00 - ﷼15,000.00 per month
Ability to commute/relocate:
Duba: Reliably commute or planning to relocate before starting work (Required)
Application Deadline: 13/03/2023",$١٠٬٠٠٠ - $١٥٬٠٠٠ لكل شهر
Groomer,"Working Timings 8:00 Am to 1:00 PM
Job start from 1st March 2023
Needed Skills &Attitude
Comfortable working with animals, including anxious ones
Ability to stand for at least two hours and lift heavy animals over 50 pounds
Willingness to learn new skills and techniques on the job
Practiced verbal communication skills (understandable Arabic/ English)
Good attention to detail
Works professionally within a team
Job Type: Full-time
Salary: ﷼2,000.00 - ﷼2,500.00 per month
Ability to commute/relocate:
Medina: Reliably commute or planning to relocate before starting work (Required)",$٢٬٠٠٠ - $٢٬٥٠٠ لكل شهر
Groomer,"Working Timings 8:00 Am to 1:00 PM
Job start from 1st March 2023
Needed Skills &Attitude
Comfortable working with animals, including anxious ones
Ability to stand for at least two hours and lift heavy animals over 50 pounds
Willingness to learn new skills and techniques on the job
Practiced verbal communication skills (understandable Arabic/ English)
Good attention to detail
Works professionally within a team
Job Type: Full-time
Salary: ﷼2,000.00 - ﷼2,500.00 per month
Ability to commute/relocate:
Medina: Reliably commute or planning to relocate before starting work (Required)",$٢٬٠٠٠ - $٢٬٥٠٠ لكل شهر
E-Commerce Executive,"Urgently Hiring - E-Commerce Executive (Content Executive).
Only apply if :
You have Ecommerce experiance.
Visit Visa.
Please Read the Job profile description before applying.
ROLE AND RESPONSIBILITIES.
Managing online sales - E-Commerce platforms & Market Place
Prepare and upload product listing including content writing for various e-commerce platforms
Update online inventory daily.
Receive and respond to e-commerce customer inquiries.
Prepare received orders for dispatching to Customers.
Manage delivery flow smoothly.
Liaise with warehouse pertaining to change in deliveries’ information
Coordinating customer service through web chat, phone, and emails.
Ensure accounts receivables received are tallied with the sales reports.
Monitor competitor’s activity and manage price strategy on online platforms.
Implement new strategies to generate and increase sales.
Establish a necessary direct relationship with e-commerce retailers to feature company products on their platforms.
Other administrative duties - Running of sales reports.
Requirement:
Diploma or Degree holder.
Must have at least 1 to 2 years of experience in e-commerce.
Strong organizational and good communication skills
Must be proficient in MS office [Excel, Word]
Ability to multitask and prioritize
Must be Excellent in communication and interpersonal skills, both written and verbal.
Friendly disposition, High initiative, and Positive
Process the right attitude towards learning and improving
Strong Team player with a creative and approachable personality
Strong customer service skills
Able to multitask in a demanding & fast-paced environment & work independently
Highly motivated individual to achieve assigned tasks and company objectives
Must possess good Analytical knowledge.
Able to work with flexible timings.
Salary: AED 2100 To 2700
Job Type: Full-time
Salary: AED2,100.00 - AED2,700.00 per month
COVID-19 considerations:
Face mask is Mandatory.
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Preferred)
Application Question(s):
Do you have 1 year eCommerce experience ( Noon/ Amazon)?
if you don’t have reverent experience, your CV will be disqualified for two 1 years for other job openings in the Group. Are you sure you have eCommerce experience?
Are you on a visit visa or Employment Visa?
Can you join immediately ?
Where Country have you completed your education (Please Mention Country & City)
Application Deadline: 22/02/2023
Expected Start Date: 01/03/2023","AED2,100 - AED2,700 a month"
